AssetID	AssetType	Type	Id	Depth	Name	DependencyType
6051	GB-FY21-PS16534-35 hidden submit on email CTA click -2019	Email	7847	minimal	EM_Nurture_GB-FY21-PS16534-35_T1___Consideration_ITDM1-2019-Resend	NA
6051	GB-FY21-PS16534-35 hidden submit on email CTA click -2019	Email	7848	minimal	EM_Nurture_GB-FY21-PS16534-35_T2___Consideration_ITDM2-2019-Resend	NA
6051	GB-FY21-PS16534-35 hidden submit on email CTA click -2019	Email	7849	minimal	EM_Nurture_GB-FY21-PS16534-35_T3___Consideration_ITDM3-2019-Resend	NA
6051	GB-FY21-PS16534-35 hidden submit on email CTA click -2019	Email	7832	minimal	EM_Nurture_GB-FY21-PS16534-35_T1___Consideration_CISO1-2019	NA
6051	GB-FY21-PS16534-35 hidden submit on email CTA click -2019	Email	7838	minimal	EM_Nurture_GB-FY21-PS16534-35_T3___Consideration_CISO3-2019	NA
6051	GB-FY21-PS16534-35 hidden submit on email CTA click -2019	Email	7839	minimal	EM_Nurture_GB-FY21-PS16534-35_T2___Consideration_CISO2-2019	NA
6051	GB-FY21-PS16534-35 hidden submit on email CTA click -2019	Campaign	397077	minimal	MC_GB-FY21-PS16534-35_Nurture_2019-Wolf-CISO	NA
6051	GB-FY21-PS16534-35 hidden submit on email CTA click -2019	Campaign	396946	minimal	MC_GB-FY21-PS16534-35_Nurture_2019-Wolf-ITDM	NA
6052	LP_REG_US-FY21-PS16536-75_T1___Awareness_Article_PCandServices-ContactUs	NA	NA	NA	NA	NA
6053	LP_CP_US-FY21-PS16536-75_T1___Awareness_Article_PCandServices-ContactUs	Form	40957	minimal	FM_VF_US-FY21-PS16536-75_PCandServicesContactUs::Redirect to Webpage	NA
6055	LP_REG_WWHQ-FY21-3DP16589-122_T1___Awareness_Article_UK-Orthotics-Prosthetics	Email	7852	minimal	EM_TY_WWHQ-FY21-3DP16589-122_T1___Awareness_UK-Orthotics-Prosthetics-EDM1	NA
6055	LP_REG_WWHQ-FY21-3DP16589-122_T1___Awareness_Article_UK-Orthotics-Prosthetics	Email	7853	minimal	EM_TY_WWHQ-FY21-3DP16589-122_T1___Awareness_UK-Orthotics-Prosthetics-EDM2	NA
6055	LP_REG_WWHQ-FY21-3DP16589-122_T1___Awareness_Article_UK-Orthotics-Prosthetics	Email	7854	minimal	EM_TY_WWHQ-FY21-3DP16589-122_T1___Awareness_UK-Orthotics-Prosthetics-EDM3	NA
6056	LP_REG_SG-FY21-PS16534-27_T1-A_Awareness_Product_ABM-Enterprise	Email	7923	minimal	EM_IN_SG-FY21-PS16534-27_T1-A_Awareness_EDM3-CISO-CSO-CIO	NA
6056	LP_REG_SG-FY21-PS16534-27_T1-A_Awareness_Product_ABM-Enterprise	Email	7921	minimal	EM_IN_SG-FY21-PS16534-27_T1-A_Awareness_EDM4-CIO-CSO-CISO	NA
6056	LP_REG_SG-FY21-PS16534-27_T1-A_Awareness_Product_ABM-Enterprise	Email	7920	minimal	EM_IN_SG-FY21-PS16534-27_T1-A_Awareness_EDM3-ITDM-PM	NA
6056	LP_REG_SG-FY21-PS16534-27_T1-A_Awareness_Product_ABM-Enterprise	Email	7922	minimal	EM_IN_SG-FY21-PS16534-27_T1-A_Awareness_EDM4-ITDM-PM	NA
6056	LP_REG_SG-FY21-PS16534-27_T1-A_Awareness_Product_ABM-Enterprise	Email	7972	minimal	EM_IN_SG-FY21-PS16534-27_T1-A_Awareness_EDM3-ITDM-PM Resend	NA
6056	LP_REG_SG-FY21-PS16534-27_T1-A_Awareness_Product_ABM-Enterprise	Email	7973	minimal	EM_IN_SG-FY21-PS16534-27_T1-A_Awareness_EDM4-ITDM-PM Resend	NA
6056	LP_REG_SG-FY21-PS16534-27_T1-A_Awareness_Product_ABM-Enterprise	Email	7975	minimal	EM_IN_SG-FY21-PS16534-27_T1-A_Awareness_EDM3-CISO-CSO-CIO Resend	NA
6056	LP_REG_SG-FY21-PS16534-27_T1-A_Awareness_Product_ABM-Enterprise	Email	7976	minimal	EM_IN_SG-FY21-PS16534-27_T1-A_Awareness_EDM4-CIO-CSO-CISO Resend	NA
6058	LP_REG_KR-FY21-GSB16642-16_T1___Awareness_Product_KR-Q4-14Oct-Webinar	NA	NA	NA	NA	NA
6064	LP_REG_IN-FY21-GSB16435-7_T1___Consideration_Product_IN-RSeries-Oct20-Web	NA	NA	NA	NA	NA
6072	LP_CP_KR-FY21-GSB16642-15_T1___Consideration_Article_KR-LFD-Lion-Z9Plus-TY	Form	41204	minimal	FM_VF_KR-FY21-GSB16642-15_KR-Lion-Z9Plus::Redirect to Webpage	NA
6072	LP_CP_KR-FY21-GSB16642-15_T1___Consideration_Article_KR-LFD-Lion-Z9Plus-TY	Form	45281	minimal	FM_VF_KR-FY22-GSB16837-2_kr-ko-gsb-fy21-page::Redirect to Webpage	NA
6076	LP_REG_SG-FY21-GSB16435-10_T1___Awareness_Product_SG-Webinar-Corrugated-Oct21-TY	Form	41241	minimal	FM_VF_SG-FY21-GSB16435-10_SG-Webinar-Corrugated-Oct21::Redirect to Webpage	NA
6077	Arize_support_test_page	NA	NA	NA	NA	NA
6081	Untitled Landing Page	NA	NA	NA	NA	NA
6083	LP_CP_IN-FY21-GSB16432-26_T1___Consideration_Product_IN-TrafficSignage-Web-Oct22-TY	Form	41358	minimal	FM_VF_IN-FY21-GSB16432-26_IN-TrafficSignage-Web-Oct22::Redirect to Webpage	NA
6091	LP_WWHQ-FY21-GSB16446-1_ContactUs_CO_ES_1543	NA	NA	NA	NA	NA
6093	LP_WWHQ-FY21-GSB16446-1_ContactUs_ES_ES_1543	NA	NA	NA	NA	NA
6104	LP_REG_KR-FY21-GSB16435-5_T1___Awareness_Product_KR-Q4-21Oct-RSeries-Webinar-TY	Form	41462	minimal	FM_VF_KR-FY21-GSB16435-5_KR-Q4-21Oct-RSeries-Webinar::Redirect to Webpage	NA
6113	LP_WWHQ-FY21-GSB16446-1_ContactUs_ID_EN_1543	NA	NA	NA	NA	NA
6118	LP_REG_NEHQ-FY21-PS16536-5_T1_Awareness_Article_1955-Rewire-FI	NA	NA	NA	NA	NA
6125	LP_REG_ES-FY21-PS16536-13_T1_Awareness_Article-1988-es-workplace-security	NA	NA	NA	NA	NA
6134	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-CA-EN-TY	NA	NA	NA	NA	NA
6136	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-BR-TY	NA	NA	NA	NA	NA
6137	LP_REG_IN-FY21-PRINT16490-4_T1___Consideration_Article_5ways-hybridworkplace	NA	NA	NA	NA	NA
6140	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-CO-TY	NA	NA	NA	NA	NA
6141	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-MX-TY	NA	NA	NA	NA	NA
6143	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-DE-TY	NA	NA	NA	NA	NA
6145	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-IT-TY	NA	NA	NA	NA	NA
6146	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-NL-TY	NA	NA	NA	NA	NA
6148	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-ES-TY	NA	NA	NA	NA	NA
6150	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-AU-TY	NA	NA	NA	NA	NA
6153	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-IN-TY	NA	NA	NA	NA	NA
6154	LP_CP_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-ID-TY	NA	NA	NA	NA	NA
6170	LP_REG_WWHQ-FY21-GSB16438-4_T1_Awareness_Product-1544-book-demo-NL	NA	NA	NA	NA	NA
6192	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Less-Waste-More-Innovation-Introduction	Email	8066	minimal	EM_IN_AU-FY22-PS16764-1_T1-A_Awareness_Less-Waste-More-Innovation	NA
6192	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Less-Waste-More-Innovation-Introduction	ContactFilter	110858	minimal	Filter Criteria 3	NA
6192	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Less-Waste-More-Innovation-Introduction	ContactFilter	111357	minimal	Filter Criteria 3	NA
6196	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Live-Q&A	Email	8070	minimal	EM_Reminder_AU-FY22-PS16764-1_T5-A_Awareness_Less-Waste-More-Innovation-1day	NA
6196	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Live-Q&A	Email	8071	minimal	EM_Reminder_AU-FY22-PS16764-1_T6-A_Awareness_Less-Waste-More-Innovation-15min	NA
